track_name,artist_name,album_name,genre,release_date,duration_ms,track_price,currency,country,preview_url,artwork_url
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Coding Music,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d3/36/92/d336922c-a554-8843-089e-7b3cf86709e8/mzaf_6934573772428758171.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/7a/1c/0c/7a1c0c30-4ab0-ba6c-28cb-856968ac5526/5060781128244.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Sleep,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d8/8e/2a/d88e2a46-71c0-cd4d-818f-e7ed6ab85bf5/mzaf_10888565559339768754.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/07/3a/b3/073ab300-fd3f-b63d-1bf1-ed74f8e50871/5060781128268.png/100x100bb.jpg
LoFi Study,Penicillin MC,"Focus LoFi - Chillhop Chillout to Come Through and Chill, Super Study Hop Beats",Hip-Hop,2019-02-13T12:00:00Z,168954,0.99,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/06/96/7e/06967efe-e6e2-eeb6-c5b1-d14208903f4f/mzaf_13794231630933551655.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/e0/b0/bd/e0b0bd13-0f2c-8dfe-6856-5fb4be5fa21f/8033773009019.jpg/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Beats to Sleep To,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/8e/99/a5/8e99a579-6a68-70f4-818b-acdb8847c38d/mzaf_6050643552669975590.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/71/15/c5/7115c542-cf70-35f6-e2e9-d2131ff538a2/5055803554880.png/100x100bb.jpg
Lofi Study,Sad Music,Lofi Hip Hop Music Mix 2021,Hip-Hop/Rap,2021-08-01T12:00:00Z,72000,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/76/ea/d6/76ead6ad-f12e-17d7-f4ef-43be62db9229/mzaf_16436879129652705094.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/74/c8/ac/74c8ac7d-dd92-d681-5a55-68508ba510a8/20309.jpg/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Chilled Music,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/83/77/1a/83771a10-628a-70be-63b0-6380b400de8e/mzaf_4888439034273697516.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/df/9c/ba/df9cbaaa-91c7-ff28-e5ad-28701b320a4d/5060781128275.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Vibes,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/65/50/c5/6550c5d9-380a-1a25-4419-3ff8b4a2a90a/mzaf_992058121202205257.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/66/64/34/66643490-0fb2-b154-b5cc-6e50e6f9bfc6/5060781122389.png/100x100bb.jpg
LoFi Study,Lofi Anime Vibes,Anime Study & LoFi,Electronic,2021-06-10T12:00:00Z,204800,0.99,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/43/42/6e/43426ef1-bcd3-a237-00f2-f67d2b139b89/mzaf_11875621747706797881.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/0e/74/87/0e7487ee-0be8-3920-6a74-1919a0028be1/5059806726435_cover.jpg/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Aesthetic Lofi Vibes,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview114/v4/39/00/52/39005255-eb7f-c70b-c3b4-958b5a92090a/mzaf_6693933792829957579.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/e6/b5/49/e6b549b5-359c-b980-ab99-e4fe730250cc/5055803576066.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Relaxing Lofi Beats,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9c/da/37/9cda3729-d176-91df-33aa-59b1e1610b0d/mzaf_8555587540775199240.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/e3/b5/ba/e3b5baf0-28b5-bcf5-9089-52899f5c2300/5060781121610.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Beats to Sleep To,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/e9/8a/dc/e98adc14-5463-81c3-55b3-dc0eb877de79/mzaf_3405205340259040279.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/e4/83/53/e48353a6-9a36-6cf2-56a1-39efe082b771/5060781122426.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Study Vibes,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/49/c7/3e/49c73e15-9980-dd18-d989-297079f32ef2/mzaf_5011374712053742243.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/1f/2e/46/1f2e4611-8bf6-4746-a0fe-92bc556552e7/5060781128282.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Beats to Study To,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/60/7a/ff/607afffd-c883-21c4-19ba-0145d810c6fe/mzaf_6363137964367457615.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/ca/5e/f8/ca5ef8d5-c281-93bf-164d-1470618dd989/5060781121559.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Chill Lofi Beats,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e9/fc/32/e9fc321b-4df3-10fa-b38c-7b9f96cdc5b6/mzaf_12374512859751022552.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/3a/fd/a3/3afda329-9572-0c3b-a309-3194228db0da/5060781121573.png/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Late Night Study Beats,Hip-Hop/Rap,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/be/a1/0a/bea10a85-c05d-8979-8282-88c80783268c/mzaf_12278017804296981648.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/0d/b5/53/0db55383-3469-0e93-5fd1-9a2fc76584d9/5060781122402.png/100x100bb.jpg
Lofi Study,Fassounds,Morning Session,Electronic,2022-05-19T12:00:00Z,147200,0.99,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/28/21/35/28213533-b19c-07c2-1947-77fde41f7795/mzaf_15849372607694240270.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/45/ef/18/45ef18bc-cfc7-9488-3309-7eaffd6736bd/67355.jpg/100x100bb.jpg
Lofi Study,"Lofi Sleep Chill & Study, Lofi Hip-Hop Beats & Lo-Fi Beats",Lofi Beats to Sleep To,New Age,2020-07-23T12:00:00Z,117073,1.29,USD,USA,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/53/39/d5/5339d58a-7cf4-5013-4a08-36e54efe41ad/mzaf_15771289780404483698.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/20/9f/2d/209f2da4-ad91-65c2-167d-41ccfb31d4ee/5060781128213.png/100x100bb.jpg
