video_id,song_title,channel_title,published_at,youtube_url,view_count,like_count,comment_count,search_query,description_preview,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes
yBQTu-72iQ4,“Suno Bitti Demiyorum Ama… Eita Çok Fena!”,Mustafa İNCE,2025-11-27T12:39:57Z,https://www.youtube.com/watch?v=yBQTu-72iQ4,29331,1066,734,Suno Türkçe şarkı,EİTA WEB SİTESİ : https://eita.tr/ Yıllardır Suno kullanıyorum ama özellikle Türkçe projelerde hep bir eksik hissettim.,,,,,,,,
Dgo8bMwxxms,Suno AI’ye Kendi Şarkımı 3 Şekilde Verdim! Bakın Neler ÜRETTİ!,alikopat,2025-10-26T17:00:20Z,https://www.youtube.com/watch?v=Dgo8bMwxxms,14369,201,111,Suno Türkçe şarkı,"Suno AI'ye kendi şarkımı verdim ama bir farkla! Acaba yapay zeka, bir şarkıyı sadece mırıltımdan tanıyabilir mi? Ya da u",,,,,,,,
Sv37kx37PvQ,Nikbinler - Eylülzede | 70s Psychedelic Anatolian Rock,Anatolian Psych Rock Lab,2025-09-25T12:52:18Z,https://www.youtube.com/watch?v=Sv37kx37PvQ,46746205,238107,13403,yapay zeka Türkçe şarkı,"Merhaba sevgili dostlar. Serkan Selay beyefendinin bizlere ulaşması sonucunda, bugün tam bir kolektif çalışmayla ortaya ",,,,,,,,
zsHXUAqfHKk,İçmeden Oy Oy - Fatih Bulut | Yapay Zeka AI Cover - Anatolia Live,Anatolia Live,2026-04-18T14:30:13Z,https://www.youtube.com/watch?v=zsHXUAqfHKk,1145766,2478,49,yapay zeka Türkçe şarkı,"Fatih Bulut’un efsaneleşen enerjik yorumuyla tanınan ""İçmeden Oy Oy"" türküsünü, en yeni yapay zeka teknolojilerini kulla",,,,,,,,
RVGyLcbyhOU,ihtiyacım Var ( Live Versiyon ) - ACIOĞLU-AI ( Offical Music ) 2026,Acıoğlu,2026-04-22T20:07:13Z,https://www.youtube.com/watch?v=RVGyLcbyhOU,28053816,121306,6228,yapay zeka Türkçe şarkı,"🎤 İhtiyacım Var (Live Konser Versiyonu) – Sahnedeki en gerçek duygu, en çıplak haliyle… Bu performans, bir şarkıdan çok ",,,,,,,,
tEb7nVKBoAc,En Çok Dinlenen 13 Türkü | Psychedelic Anatolian Rock Mix,Anatolian Waves,2026-04-13T05:30:33Z,https://www.youtube.com/watch?v=tEb7nVKBoAc,709727,2498,81,yapay zeka Türkçe şarkı,"Anadolu'nun kadim melodileri, modern ""Psychedelic Anatolian Rock"" tınılarıyla tek bir videoda buluşuyor. Anatolian Waves",,,,,,,,
ZGTzfs-UYyI,PADİŞAH (Sibel CAN Cover) – AI Cover | Musicihan Production (Hareketli / Enerjik),Musicihan Production,2026-04-18T19:41:38Z,https://www.youtube.com/watch?v=ZGTzfs-UYyI,776548,3093,81,yapay zeka Türkçe şarkı,"Türk pop müziğinin unutulmaz hitlerinden biri olan “Padişah”, söz ve müziği Serdar Ortaç’a ait olan ikonik bir eserdir. ",,,,,,,,
f3D54P4FwG0,Yaşlanırsın Yaşlanırsın | Psychedelic Anatolian Rock Cover,Anatolia Tunes,2025-11-12T18:56:23Z,https://www.youtube.com/watch?v=f3D54P4FwG0,7837961,17526,518,yapay zeka Türkçe şarkı,"🪔 Yaşlanırsın Yaşlanırsın Zamanın acı-tatlı gerçeğini dile getiren, gönüllerimize taht kurmuş efsane türkü ""Yaşlanırsın""",,,,,,,,
XpK2tI2G7LM,Seni Unutmaya Ömrüm Yeter mi – Efsane Şarkılar (2025),Remix Cover Şarkılar,2025-10-29T12:00:06Z,https://www.youtube.com/watch?v=XpK2tI2G7LM,20640101,41281,2057,yapay zeka Türkçe şarkı,"🎤 “Seni Unutmaya Ömrüm Yeter mi” – Bizim için sadece bir şarkı değil, bir iç sızısı, bir hatıra, bir iç çekiş... Bu vide",,,,,,,,
4LmO2QiY890,Best of Anadolu Remix – En İyiler | Psychedelic Anatolian Rock (Full Album),Anadolu Remix,2026-01-23T17:00:42Z,https://www.youtube.com/watch?v=4LmO2QiY890,1024496,4950,174,yapay zeka Türkçe şarkı,"Anadolu’nun kadim türküleri; özünden, hüznünden ve asil ruhundan zerre kopmadan, yüksek kaliteli Psychedelic Anatolian R",,,,,,,,
